"","X[[i]]","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","X.2b7c7b4f.4d4f.40d3.94de.c28b6fa054a6.","installationKey","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","genericName","taxonRank","taxonomicStatus","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","identifier","catalogNumber","institutionCode","gbifID","collectionCode","name","publishingCountry","organismQuantity","organismQuantityType","sampleSizeUnit","sampleSizeValue","relativeOrganismQuantity","identificationReferences","http...rs.tdwg.org.dwc.terms.sampleSizeValue","eventID","http...rs.tdwg.org.dwc.terms.organismQuantity","dynamicProperties","locality","eventRemarks","materialSampleID","occurrenceID","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","http...rs.tdwg.org.dwc.terms.organismQuantityType","identificationRemarks","speciesKey","species","specificEpithet","depth","depthAccuracy","modified","references","created","associatedSequences","higherClassification","taxonID","individualCount","stateProvince","typeStatus","higherGeography","verbatimEventDate","institutionID","georeferenceProtocol","endDayOfYear","verbatimCoordinateSystem","datasetName","type","preparations","recordedBy","startDayOfYear","identifiedBy","continent","waterBody","rightsHolder","municipality","language","verbatimLocality","locationID","ownerInstitutionCode","accessRights","elevation","elevationAccuracy","typifiedName","fieldNumber","acceptedNameUsage","nomenclaturalCode","datasetID","collectionID","parentNameUsage","identificationID"
"48",NA,"2440558675","Methanobacterium Kluyver & van Niel, 1936",-2.27,-54.05,"gass84","a06441d0-52e5-45ba-a6d3-396dc38cc47c","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:26.987+0000","2020-02-19T10:00:58.587+0000",18,"none","MATERIAL_SAMPLE",1000091,2,24,293,1192,3801,1000091,1000091,"Methanobacterium Kluyver & van Niel, 1936","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium","GENUS","ACCEPTED",2009,4,1,"2009-04-01T00:00:00","2020-02-19T10:00:58.587+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00358856_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobacterium",NA,NA,"2440558675",NA,"Methanobacterium Kluyver & van Niel, 1936","GB",7,"DNA sequence reads","DNA sequence reads",2155,0.00324825986078886,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","2155","MGYA00358856","7","{""geographic location (longitude)"":""-54.05"",""geographic location (country and/or sea,region)"":""Brazil"",""collection date"":""2009-04-01"",""geographic location (latitude)"":""-2.27"",""instrument model"":""454 GS FLX+"",""last update date"":""2016-07-14""}",NA,"This sample has been submitted by pda|04030140 on 2016-07-14; sediment metagenome","https://www.ebi.ac.uk/metagenomics/samples/SRS988173","MGYA00358856_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobacterium","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00358856#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"2440560669","Methanobacterium Kluyver & van Niel, 1936",-2.29,-54.05,"gass84","a06441d0-52e5-45ba-a6d3-396dc38cc47c","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:26.987+0000","2020-02-19T10:00:58.552+0000",18,"none","MATERIAL_SAMPLE",1000091,2,24,293,1192,3801,1000091,1000091,"Methanobacterium Kluyver & van Niel, 1936","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium","GENUS","ACCEPTED",2009,4,1,"2009-04-01T00:00:00","2020-02-19T10:00:58.552+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00358857_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobacterium",NA,NA,"2440560669",NA,"Methanobacterium Kluyver & van Niel, 1936","GB",46,"DNA sequence reads","DNA sequence reads",2181,0.0210912425492893,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","2181","MGYA00358857","46","{""geographic location (longitude)"":""-54.05"",""geographic location (country and/or sea,region)"":""Brazil"",""collection date"":""2009-04-01"",""geographic location (latitude)"":""-2.29"",""instrument model"":""454 GS FLX+"",""last update date"":""2016-07-14""}",NA,"This sample has been submitted by pda|04030140 on 2016-07-14; sediment metagenome","https://www.ebi.ac.uk/metagenomics/samples/SRS988175","MGYA00358857_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobacterium","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00358857#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,"2440560883","Methanobacterium Kluyver & van Niel, 1936",-2.28,-54.06,"gass84","a06441d0-52e5-45ba-a6d3-396dc38cc47c","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:26.987+0000","2020-02-19T10:00:58.635+0000",18,"none","MATERIAL_SAMPLE",1000091,2,24,293,1192,3801,1000091,1000091,"Methanobacterium Kluyver & van Niel, 1936","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium","GENUS","ACCEPTED",2009,4,1,"2009-04-01T00:00:00","2020-02-19T10:00:58.635+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00358855_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobacterium",NA,NA,"2440560883",NA,"Methanobacterium Kluyver & van Niel, 1936","GB",20,"DNA sequence reads","DNA sequence reads",2789,0.00717102904266762,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","2789","MGYA00358855","20","{""geographic location (longitude)"":""-54.06"",""geographic location (country and/or sea,region)"":""Brazil"",""collection date"":""2009-04-01"",""geographic location (latitude)"":""-2.28"",""instrument model"":""454 GS FLX+"",""last update date"":""2016-07-14""}",NA,"This sample has been submitted by pda|04030140 on 2016-07-14; sediment metagenome","https://www.ebi.ac.uk/metagenomics/samples/SRS988172","MGYA00358855_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobacterium","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00358855#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"2441855246","Methanobrevibacter Balch & Wolfe, 1981",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:57.877+0000",18,"none","MATERIAL_SAMPLE",1000107,2,24,293,1192,3801,1000107,1000107,"Methanobrevibacter Balch & Wolfe, 1981","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter","GENUS","ACCEPTED",2014,9,1,"2014-09-01T00:00:00","2020-02-19T10:01:57.877+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00362169_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter",NA,NA,"2441855246",NA,"Methanobrevibacter Balch & Wolfe, 1981","GB",8,"DNA sequence reads","DNA sequence reads",1280196,6.24904311527297e-06,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","1280196","MGYA00362169","8","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-09-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from interstitial water sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484801","MGYA00362169_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362169#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"2441852460","Methanobrevibacter Balch & Wolfe, 1981",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:58.031+0000",18,"none","MATERIAL_SAMPLE",1000107,2,24,293,1192,3801,1000107,1000107,"Methanobrevibacter Balch & Wolfe, 1981","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter","GENUS","ACCEPTED",2014,12,1,"2014-12-01T00:00:00","2020-02-19T10:01:58.031+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00362168_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter",NA,NA,"2441852460",NA,"Methanobrevibacter Balch & Wolfe, 1981","GB",25,"DNA sequence reads","DNA sequence reads",2296927,1.08841073312299e-05,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","2296927","MGYA00362168","25","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-12-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from interstitial water sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484803","MGYA00362168_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362168#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"2441856966","Methanobrevibacter Balch & Wolfe, 1981",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:58.049+0000",18,"none","MATERIAL_SAMPLE",1000107,2,24,293,1192,3801,1000107,1000107,"Methanobrevibacter Balch & Wolfe, 1981","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter","GENUS","ACCEPTED",2014,12,1,"2014-12-01T00:00:00","2020-02-19T10:01:58.049+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00362170_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter",NA,NA,"2441856966",NA,"Methanobrevibacter Balch & Wolfe, 1981","GB",471,"DNA sequence reads","DNA sequence reads",1537451,0.000306351226803326,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","1537451","MGYA00362170","471","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-12-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from sediment sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484800","MGYA00362170_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanobrevibacter","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362170#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"2441852646","Methanothermobacter crinale Cheng et al., 2012",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:57.877+0000",18,"none","MATERIAL_SAMPLE",8298517,2,24,293,1192,3801,1000122,8298517,"Methanothermobacter crinale Cheng et al., 2012","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanothermobacter","Methanothermobacter","SPECIES","ACCEPTED",2014,12,1,"2014-12-01T00:00:00","2020-02-19T10:01:57.877+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00362168_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanothermobacter:Methanothermobacter_crinale",NA,NA,"2441852646",NA,"Methanothermobacter crinale Cheng et al., 2012","GB",1,"DNA sequence reads","DNA sequence reads",2296927,4.35364293249198e-07,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","2296927","MGYA00362168","1","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-12-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from interstitial water sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484803","MGYA00362168_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanothermobacter:Methanothermobacter_crinale","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362168#taxonomic.",8298517,"Methanothermobacter crinale","crinale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"2441855272","Methanosphaera Miller & Wolin, 1985",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:58.024+0000",18,"none","MATERIAL_SAMPLE",1000134,2,24,293,1192,3801,1000134,1000134,"Methanosphaera Miller & Wolin, 1985","Archaea","Euryarchaeota","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera","GENUS","ACCEPTED",2014,9,1,"2014-09-01T00:00:00","2020-02-19T10:01:58.024+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanobacteria","BR","none","none","Brazil","MGYA00362169_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanosphaera",NA,NA,"2441855272",NA,"Methanosphaera Miller & Wolin, 1985","GB",2,"DNA sequence reads","DNA sequence reads",1280196,1.56226077881824e-06,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","1280196","MGYA00362169","2","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-09-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from interstitial water sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484801","MGYA00362169_Archaea::Euryarchaeota:Methanobacteria:Methanobacteriales:Methanobacteriaceae:Methanosphaera","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362169#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","no data found, try a different search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,"2441854366","Methanococcus Kluyver & van Niel, 1936",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:57.893+0000",18,"none","MATERIAL_SAMPLE",1000140,2,24,161,1193,7788,1000140,1000140,"Methanococcus Kluyver & van Niel, 1936","Archaea","Euryarchaeota","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus","GENUS","ACCEPTED",2014,9,1,"2014-09-01T00:00:00","2020-02-19T10:01:57.893+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanococci","BR","none","none","Brazil","MGYA00362169_Archaea::Euryarchaeota:Methanococci:Methanococcales:Methanococcaceae:Methanococcus",NA,NA,"2441854366",NA,"Methanococcus Kluyver & van Niel, 1936","GB",8,"DNA sequence reads","DNA sequence reads",1280196,6.24904311527297e-06,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","1280196","MGYA00362169","8","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-09-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from interstitial water sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484801","MGYA00362169_Archaea::Euryarchaeota:Methanococci:Methanococcales:Methanococcaceae:Methanococcus","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362169#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,"2441856249","Methanococcus maripaludis Jones et al., 1984",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:58.034+0000",18,"none","MATERIAL_SAMPLE",1000143,2,24,161,1193,7788,1000140,1000143,"Methanococcus maripaludis Jones et al., 1984","Archaea","Euryarchaeota","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus","SPECIES","ACCEPTED",2014,9,1,"2014-09-01T00:00:00","2020-02-19T10:01:58.034+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanococci","BR","none","none","Brazil","MGYA00362169_Archaea::Euryarchaeota:Methanococci:Methanococcales:Methanococcaceae:Methanococcus:Methanococcus_maripaludis",NA,NA,"2441856249",NA,"Methanococcus maripaludis Jones et al., 1984","GB",1,"DNA sequence reads","DNA sequence reads",1280196,7.81130389409122e-07,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","1280196","MGYA00362169","1","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-09-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from interstitial water sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484801","MGYA00362169_Archaea::Euryarchaeota:Methanococci:Methanococcales:Methanococcaceae:Methanococcus:Methanococcus_maripaludis","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362169#taxonomic.",1000143,"Methanococcus maripaludis","maripaludis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,"2441855125","Methanococcus Kluyver & van Niel, 1936",-22.59,-43.2436,"gass84","d2c5a3fa-e541-4399-b7b3-5d879af9f266","ab733144-7043-4e88-bd4f-fca7bf858880",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad","DWC_ARCHIVE","2020-02-19T09:53:35.694+0000","2020-02-19T10:01:57.950+0000",18,"none","MATERIAL_SAMPLE",1000140,2,24,161,1193,7788,1000140,1000140,"Methanococcus Kluyver & van Niel, 1936","Archaea","Euryarchaeota","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus","GENUS","ACCEPTED",2014,12,1,"2014-12-01T00:00:00","2020-02-19T10:01:57.950+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Methanococci","BR","none","none","Brazil","MGYA00362168_Archaea::Euryarchaeota:Methanococci:Methanococcales:Methanococcaceae:Methanococcus",NA,NA,"2441855125",NA,"Methanococcus Kluyver & van Niel, 1936","GB",18,"DNA sequence reads","DNA sequence reads",2296927,7.83655727848556e-06,"https://www.ebi.ac.uk/metagenomics/pipelines/4.1","2296927","MGYA00362168","18","{""geographic location (longitude)"":""-43.24362"",""geographic location (country and/or sea,region)"":""Brazil: Rio de Janeiro: Rio de Janeiro"",""collection date"":""2014-12-01"",""geographic location (latitude)"":""-22.59004"",""instrument model"":""Illumina MiSeq"",""last update date"":""2017-11-08""}","Rio de Janeiro","16S from interstitial water sample","https://www.ebi.ac.uk/metagenomics/samples/SRS2484803","MGYA00362168_Archaea::Euryarchaeota:Methanococci:Methanococcales:Methanococcaceae:Methanococcus","DNA sequence reads","DNA sequence reads","SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00362168#taxonomic.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
